previous_experiment,previous_label,current_experiment,current_label,metric,unit,previous,current,absolute_change,relative_change_pct,comparable,previous_source,current_source,seed,period,population,absolute_change_unit
exp004,exp004 无季节,exp006,exp006 正式·树DP,load_bias,kW,95.8541454795668,95.8541454795668,0,0,True,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,kW
exp004,exp004 历史季节,exp006,exp006 正式·树DP,load_mae,kW,195.500842676185,191.830924953953,-3.66991772223216,-1.87718767448525,True,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,kW
exp004,exp004 历史季节,exp006,exp006 正式·树DP,load_rmse,kW,254.361380462436,252.128225661351,-2.23315480108496,-0.877945699549606,True,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,kW
exp004,exp004 历史季节,exp006,exp006 正式·树DP,load_wape_pct,%,3.67983986986838,3.61076236939042,-0.069077500477964,-1.87718767448527,True,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,百分点
exp004,exp004 历史季节,exp006,exp006 正式·树DP,load_bias,kW,100.562505284843,95.8541454795668,-4.70835980527585,-4.68202317746505,True,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,kW
exp004,exp004 全年探索,exp006,exp006 正式·树DP,load_mae,kW,199.250231362004,191.830924953953,,,False,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,kW
exp004,exp004 全年探索,exp006,exp006 正式·树DP,load_rmse,kW,254.844568988344,252.128225661351,,,False,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,kW
exp004,exp004 全年探索,exp006,exp006 正式·树DP,load_wape_pct,%,3.75041322282605,3.61076236939042,,,False,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,百分点
exp004,exp004 全年探索,exp006,exp006 正式·树DP,load_bias,kW,112.193629496956,95.8541454795668,,,False,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,kW
exp001,exp001 午夜重评分,exp006,exp006 正式·树DP,pv_mae,kW,179.603749612492,212.419785933555,32.8160363210623,18.2713536837985,True,data/results/exp003/baseline/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp001,exp001 午夜重评分,exp006,exp006 正式·树DP,pv_rmse,kW,341.262159873401,423.999134245203,82.736974371802,24.2444033063892,True,data/results/exp003/baseline/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp001,exp001 午夜重评分,exp006,exp006 正式·树DP,pv_wape_pct,%,7.55001291278804,8.929502475256,1.37948956246796,18.2713536837985,True,data/results/exp003/baseline/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,百分点
exp001,exp001 午夜重评分,exp006,exp006 正式·树DP,pv_bias,kW,13.5564800486824,-135.595950409824,-149.152430458506,-1100.22977884294,True,data/results/exp003/baseline/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
