date,total_cost_current,total_cost_baseline,difference_yuan
2025-11-04,47364.7144573048,46020.8382721609,1343.87618514388
2025-11-05,48641.0525770928,46148.7953539467,2492.2572231461
2025-11-06,56515.1297797872,51706.8128106337,4808.31696915351
2025-11-07,19439.1905236291,18175.223894968,1263.96662866103
2025-11-08,18819.9577115495,17209.2824681825,1610.67524336704
2025-11-09,50488.1648853067,48652.4252776416,1835.73960766513
2025-11-10,52955.0537128933,49414.7813316054,3540.27238128797
2025-11-11,50048.5804691026,48408.8330739824,1639.74739512018
2025-11-12,50563.6676568164,47608.0942222907,2955.57343452568
2025-11-13,50942.0565046652,49331.152727302,1610.90377736314
2025-11-14,19718.4113977282,17955.4601300361,1762.95126769209
2025-11-15,20146.5957585249,19629.4853714064,517.110387118581
2025-11-16,52506.2116414359,49730.4211801286,2775.79046130731
2025-11-17,52087.1694485295,50269.8025244866,1817.36692404284
2025-11-18,52214.4687468943,48701.0197691176,3513.44897777663
2025-11-19,53883.2327363095,52449.593642178,1433.63909413155
2025-11-20,53137.8753857606,49894.8028568169,3243.07252894374
2025-11-21,20206.6487772534,20949.8352062448,-743.186428991448
2025-11-22,20264.7633014383,19224.4302060893,1040.33309534903
2025-11-23,53800.1983110469,51443.2831370882,2356.91517395873
2025-11-24,53478.9847177752,50190.7571695536,3288.22754822163
2025-11-25,52979.2162855941,52679.9950594399,299.22122615423
2025-11-26,53386.4584476269,51317.3765102476,2069.08193737925
2025-11-27,53372.5650043218,50393.8930139616,2978.67199036021
2025-11-28,20935.4849475386,19405.0074697394,1530.47747779929
2025-11-29,23779.577947727,25194.6994060122,-1415.12145828521
2025-11-30,56642.9036543045,53133.094903476,3509.80875082844
2025-12-01,69963.9593542604,75367.8645406834,-5403.90518642298
2025-12-02,66459.7603990102,69423.936088421,-2964.1756894108
2025-12-03,61941.6867770823,59881.3940976151,2060.29267946724
2025-12-04,65524.608248251,70103.3649982464,-4578.75674999539
2025-12-05,27000.0645978227,32177.9946994527,-5177.9301016301
2025-12-06,29917.1321826305,38628.7023463433,-8711.57016371281
2025-12-07,61784.1560615652,68343.4443898689,-6559.28832830369
2025-12-08,63308.8660947779,59453.675822166,3855.19027261192
2025-12-09,63207.4249980787,59689.8981942195,3517.52680385917
2025-12-10,62734.280915896,58702.6483371638,4031.63257873218
2025-12-11,61552.0212742836,58575.1080379071,2976.91323637651
2025-12-12,27980.6821091246,24269.321020396,3711.36108872856
2025-12-13,28687.0315233459,24871.7907429332,3815.24078041264
2025-12-14,62774.3233368488,59837.1342150031,2937.18912184572
2025-12-15,62066.5331000192,59884.3188496003,2182.21425041896
2025-12-16,62115.6774255571,59770.6252600805,2345.05216547663
2025-12-17,62531.229871355,59484.3765702919,3046.85330106309
2025-12-18,62205.8293258406,61422.6322596927,783.197066147914
2025-12-19,28377.3474849034,24647.1230278011,3730.22445710231
2025-12-20,28451.1346048358,25381.9831321765,3069.15147265932
2025-12-21,62775.1315224467,60391.5653471928,2383.56617525397
