predictor_id,scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias
exp002_seed_3407,2,0,0,annual,pv,pv_generating,kW,26880,8161603.734107219,5565940859.303908,388900.02590104425,114413339.9657,303.63109129863165,455.04532983676097,7.133437181847841,14.468006915961467
exp002_seed_3407,2,0,0,annual,net_load,all,kW,48096,13401054.11052088,8033004970.503565,-1036362.1600463553,144333055.96420002,278.6313645733716,408.68108563928627,9.284812838609085,-21.547782768761547
exp002_seed_3407,2,0,0,annual,net_load,pv_generating,kW,26880,9967219.342344884,7011014307.189406,-850433.6013404974,65091408.59120001,370.8042910098543,510.7116849247269,15.312649638515268,-31.638154811774456
attachment2_yesterday,2,0,0,annual,load,all,kW,48096,31263365.1672,61239039342.59436,-262690.7105999994,222048476.9355,650.02006751497,1128.3912380310528,14.07952245323497,-5.461799538423142
attachment2_yesterday,2,0,0,annual,load,pv_generating,kW,26880,21773860.121700004,50779774843.6595,-166301.2037000001,142806829.5625,810.0394390513394,1374.4557207891244,15.247071998171197,-6.186800732886908
attachment2_yesterday,2,0,0,annual,pv,all,kW,48096,8914424.8565,6769809675.0324,36601.88870000008,114413339.9657,185.34649152736193,375.1748781365903,7.791420877296701,0.7610173132900883
attachment2_yesterday,2,0,0,annual,pv,pv_generating,kW,26880,8914317.393399999,6769809123.751596,36494.4256,114413339.9657,331.6338315997023,501.8495969876943,7.79132695197293,1.3576795238095238
attachment2_yesterday,2,0,0,annual,net_load,all,kW,48096,35794233.6371,67790865942.09953,-299292.5993,144333055.96420002,744.224751270376,1187.2197461614771,24.799747637837246,-6.22281685171324
attachment2_yesterday,2,0,0,annual,net_load,pv_generating,kW,26880,26304730.216700003,57331587120.13887,-202795.62929999985,65091408.59120001,978.5985943712799,1460.435395574903,40.41198490864469,-7.544480256696423
attachment2_weekly,2,0,0,annual,load,all,kW,48096,8503167.0055,2870174503.9868774,93761.69490000003,222048476.9355,176.79572117223884,244.28661499529923,3.829419198389717,1.949469704341318
attachment2_weekly,2,0,0,annual,load,pv_generating,kW,26880,4692123.9091,1543190229.29556,9959.614300000016,142806829.5625,174.55818114211309,239.60457172651263,3.2856439173635406,0.37052136532738156
attachment2_weekly,2,0,0,annual,pv,all,kW,48096,10325645.1764,8482032413.414016,226702.12320000026,114413339.9657,214.68823137890885,419.9479682302922,9.024861243886008,4.713533832335335
attachment2_weekly,2,0,0,annual,pv,pv_generating,kW,26880,10319507.8655,8481713203.78584,220564.81230000005,114413339.9657,383.9102628534226,561.7294061521795,9.019497087134846,8.205536171875002
attachment2_weekly,2,0,0,annual,net_load,all,kW,48096,15764464.948099999,11381996614.449871,-132940.4282999998,144333055.96420002,327.7708114624917,486.4685254107146,10.922283078389315,-2.7640641279940077
attachment2_weekly,2,0,0,annual,net_load,pv_generating,kW,26880,11953700.7214,10055486049.871601,-210605.19800000003,65091408.59120001,444.70612802827384,611.6273560663188,18.364483086353232,-7.83501480654762
attachment2_periodic,2,0,0,annual,load,all,kW,48096,8503167.0055,2870174503.9868774,93761.69490000003,222048476.9355,176.79572117223884,244.28661499529923,3.829419198389717,1.949469704341318
attachment2_periodic,2,0,0,annual,load,pv_generating,kW,26880,4692123.9091,1543190229.29556,9959.614300000016,142806829.5625,174.55818114211309,239.60457172651263,3.2856439173635406,0.37052136532738156
attachment2_periodic,2,0,0,annual,pv,all,kW,48096,8914424.8565,6769809675.0324,36601.88870000008,114413339.9657,185.34649152736193,375.1748781365903,7.791420877296701,0.7610173132900883
attachment2_periodic,2,0,0,annual,pv,pv_generating,kW,26880,8914317.393399999,6769809123.751596,36494.4256,114413339.9657,331.6338315997023,501.8495969876943,7.79132695197293,1.3576795238095238
attachment2_periodic,2,0,0,annual,net_load,all,kW,48096,14612966.913199998,9662178261.517368,57159.806199999875,144333055.96420002,303.8291523868929,448.2115496746542,10.124476902106583,1.1884523910512284
attachment2_periodic,2,0,0,annual,net_load,pv_generating,kW,26880,10801924.220700001,8335200638.793941,-26534.811299999972,65091408.59120001,401.8572998772322,556.8566327870589,16.59500762771995,-0.9871581584821418
