name,date,day,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh
penalty_multiplier_2,2025-11-30,333,load,144,1,2.091474903110501,2200834.249669483,14808.750933758336,708053.0066,123.626741355826,102.83854815109956,-9.601210981139259,125.32546735512044,126.79083152508343,-33.19729169986351,230.42906354734222,230.42906354734222,81.68400638178859,92.18325230434908,15191.387925955945,427.28610823331866
penalty_multiplier_2,2025-11-30,333,pv,144,1,7.0735270777158705,6761136.272356839,16027.48327463849,226584.0379,216.68487539443143,111.30196718498951,108.1128490361759,205.18651596437644,182.8683080819717,99.78663334476511,2594.708376868222,2594.708376868222,1720.731354972044,11688.38812671896,35263.94709798131,0.00175
penalty_multiplier_2,2025-11-30,333,net,144,1,5.273597113981233,7963284.582852898,25397.509946690014,481597.4637,235.16076922166013,176.371596852014,-117.71406001731515,232.17345409152566,224.19551477223897,-132.9839250446286,2825.1374404155636,2825.1374404155636,1750.2846184343002,13856.599925760072,41443.98745516282,928.6764162207149
penalty_multiplier_2,2025-12-01,334,load,144,1,6.232225602829003,22477242.499242026,46850.653125080134,751748.3498,395.084752680095,325.3517578130565,-306.8527454698241,387.0242749028525,355.9064846264205,-223.96871058098623,7364.465891275778,7364.465891275778,5445.678033710624,94158.60740236864,61933.35439792318,1471.2881745729974
penalty_multiplier_2,2025-12-01,334,pv,144,1,4.860847572552916,4641082.275530478,11372.185409770333,233954.78340000001,179.526427092273,78.97350979007176,-11.148252240687036,164.55675508889192,59.4051881244831,-6.0964675720334505,267.55805377648886,267.55805377648886,293.26102347449034,124.28352802198351,32105.454496495233,114.1160917465891
penalty_multiplier_2,2025-12-01,334,net,144,1,9.005126173458242,24293223.35101821,46672.73092198212,518290.6938,410.73463445103636,324.11618695820914,-295.7044932291371,414.9829018086752,344.30400369714806,-217.87224300895278,7096.90783749929,7096.90783749929,5198.937787278173,87441.14731590079,81261.79262172568,1430.8672050136222
penalty_multiplier_2,2025-12-02,335,load,144,1,2.776723634476755,4670179.692950657,20892.172519694614,752403.7416,180.08832117399632,145.08453138676816,-35.22773739893136,182.2157237159113,182.75510160308988,1.4144303806883727,845.4656975743527,845.4656975743527,1216.257505532401,1240.9934822480673,31190.809941020372,454.71039307226073
penalty_multiplier_2,2025-12-02,335,pv,144,1,4.9870242000214295,4168181.096493474,11000.222480005687,220576.88189999998,170.1343647208948,76.39043388892838,57.81537762076917,177.88442393213214,137.90847377493748,48.382691269151096,1387.56906289846,1387.56906289846,986.4659843306523,3342.6178894321365,25603.084169550326,41.02477041732229
penalty_multiplier_2,2025-12-02,335,net,144,1,5.20695103188876,10279069.930756183,27691.964159010742,531826.8597,267.1749053984968,192.30530665979683,-93.04311501970051,276.944097550546,244.5760989058055,-46.96826088846269,2233.034760472812,2233.034760472812,2151.0491262556666,8657.021252569219,62725.40882212649,724.2853883687549
penalty_multiplier_2,2025-12-03,336,load,144,1,2.614091756502708,4148534.1415708885,19546.54661681108,747737.5867999999,169.73292218076037,135.73990706118806,-34.95258189476143,174.85781504877752,188.60933038637924,38.35206123208317,838.8619654742743,838.8619654742743,1083.7735151439272,1221.6829811100044,27587.58189091006,318.4765305146575
