family,level,replicate_id,n_days,total_cost_yuan,cost_change_pct,emergency_cost_yuan,emergency_kwh,peak_emergency_kw,throughput_kwh,reversals,final_soc_kwh,balance_error_kwh,soc_error_kwh,simultaneous_slots,emergency_charge_slots,min_soc_kwh,max_soc_kwh,max_power_kw,physics_passed
correlated_noise,0.02,16,334,13432218.762378262,1.7439564403584518,797284.5564743336,150308.84504876574,5356.155817686232,11323260.153486315,2525,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.05,16,334,14575764.209309684,10.405878956542992,1940830.0034057554,366910.4971030238,5447.922153534766,11130039.34083414,2489,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.1,16,334,17426438.605908133,31.998655009708198,4791504.400004204,930719.3453546171,5805.656568814155,10713634.031099534,2417,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.01,17,334,13283701.233576622,0.6189925570015964,648767.0276726931,121583.11267670331,5384.364913994727,11351210.481527679,2535,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.02,17,334,13485579.39766785,2.148142989771995,850645.1917639207,160924.92801514437,5476.6037280315495,11325857.903963756,2533,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.05,17,334,14800336.077196825,12.106925577972017,2165401.8712928966,406131.3529294411,5759.105043977128,11116295.473184738,2513,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.1,17,334,18024311.01544372,36.52731147881343,5389376.809539791,1031324.4009898179,6583.212793007312,10641022.781198323,2443,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.01,18,334,13211607.392377703,0.07290908648027727,576673.1864737738,107949.62858696972,5185.012282939022,11360374.342789711,2541,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.02,18,334,13353980.658380162,1.1513325123254647,719046.4524762332,136352.30194447865,5123.854087376726,11337884.407165535,2543,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.05,18,334,14489092.147603888,9.749371001543805,1854157.9416999593,356879.26816138485,5435.139397160368,11127735.865381498,2515,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.1,18,334,17479262.720033966,32.39877761504222,4844328.514130037,938794.3690066804,6375.548017397398,10662793.577949556,2441,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.01,19,334,13262258.076930173,0.45656878812352364,627323.871026244,117347.62739720801,5272.960662956709,11347196.396221647,2525,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.02,19,334,13427663.966913216,1.7094555943263368,792729.7610092871,148905.778185866,5252.361156175902,11322162.323411841,2515,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.05,19,334,14581550.07284479,10.449704675726078,1946615.8669408616,366131.27972369967,5454.458319205122,11119188.755706595,2491,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.1,19,334,17389776.66165611,31.720954703825434,4754842.455752183,912561.6143206119,6731.502011335202,10698350.050872903,2439,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.01,20,334,13243079.014606277,0.3112946739827649,608144.8087023478,114303.56529888809,5277.864673538322,11343487.123159945,2527,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.02,20,334,13421844.515209846,1.6653754575232549,786910.3093059175,147585.2942545074,5262.136326469058,11306514.44862632,2531,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.05,20,334,14488261.31891709,9.743077789736109,1853327.1130131613,352235.4490465213,5273.910263294677,11108643.343489144,2507,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
