scenario,variant,seed,known_price,corrected,update_schedule,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,charge_kwh,discharge_kwh,surplus_kwh,planned_cost,up_cost,down_cost,emergency_cost,total_cost,violations,solve_execute_seconds,initial_soc,final_soc,days
4-2,tcn,3407,False,True,0,19839322.013899688,19839322.013899688,741688.1985019712,49110,6391846.150374604,5183492.723511763,1433467.2905721494,12687698.989042481,0.0,0.0,4330222.639075209,17017921.62811769,0,0.9516395013779402,7974.824120370375,1200.0,334
4-2,tcn,42,False,True,0,19631511.783170484,19631511.783170484,866606.8622389381,52220,6345461.215425965,5145920.926203365,1359388.8612201554,12547257.23158257,0.0,0.0,5128719.404055051,17675976.635637622,0,0.9429532827343792,7974.824120370375,1200.0,334
4-2,tcn,mean,False,True,0,19778236.113729812,19778236.113729812,768821.427157838,48810,6400495.753064405,5190498.901690502,1397871.1945470795,12635376.04226147,0.0,0.0,4557501.074536841,17192877.11679831,0,1.0029895494226366,7974.824120370375,1200.0,334
4-2,weekly,baseline,False,True,0,20134757.60979916,20134757.60979916,647838.1342410332,35660,6608972.860550899,5353473.8883825615,1587907.276905192,12902758.853990393,0.0,0.0,3957452.715712129,16860211.56970252,0,1.4899195447796956,1428.7459292592612,1200.0,334
4-2,yesterday,baseline,False,True,0,19800225.8141562,19800225.8141562,1981070.0006322034,63060,6053350.431109536,4909311.190907057,2698067.0796192605,12467597.323266594,0.0,0.0,10993780.036010675,23461377.359277267,0,1.274003678234294,7974.824120370375,1200.0,334
4-3,gru,2026,False,True,0+6+12+18,19735223.269144773,20452195.54306307,262954.3042586448,30200,6535849.17013817,5300135.169803585,1540246.3520204618,12617984.99526972,925636.870465495,0.0,1361922.4166368977,14905544.282372113,0,3.487998634460382,7974.82443518519,1200.0,334
4-3,gru,3407,False,True,0+6+12+18,19752460.422063928,20435340.174282815,240312.77862950705,32330,6538344.774574908,5302046.48328594,1500165.1666566876,12647731.383647285,910677.7278912548,0.0,1210540.5283437886,14768949.639882328,0,3.0502302843378857,7974.82443518519,1322.3623460026045,334
4-3,gru,42,False,True,0+6+12+18,19651086.905465208,20411389.55239111,257199.73518318188,32690,6497376.234663607,5268580.301139359,1500603.8590833824,12589752.45990355,1000361.4399841304,0.0,1306445.2909567899,14896559.19084447,0,3.0812389958882704,7974.82443518519,1635.3232553645844,334
4-3,gru,mean,False,False,0+6+12+18,20107713.796361793,20732888.03523046,204740.24123607716,28070,6534718.0712721655,5299101.477972901,1762822.1882006086,12889284.010372093,774585.1919794147,0.0,1047554.3519217366,14711423.554273246,0,3.077535616233945,7974.82443518519,1330.5574991330295,334
4-3,gru,mean,False,True,0+6+12+18,19728527.02972989,20404006.565633386,253333.2337718519,33700,6528993.655097709,5294512.7001477145,1483669.349488578,12623229.285268458,888672.7629209025,0.0,1284858.8502773868,14796760.898466747,0,4.618704458000138,7974.82443518519,1277.2249701074218,334
4-3,gru_no_calendar,2026,False,True,0+6+12+18,19755859.945966136,20395325.202751096,273289.11472426396,32250,6631609.090115688,5377700.704985374,1475516.4373783804,12623450.035818517,862872.8364491217,0.0,1404423.1466679997,14890746.01893564,0,4.208924628561363,7974.82443518519,1200.0,334
4-3,gru_no_calendar,3407,False,True,0+6+12+18,19908733.34720585,20461345.704469796,240799.49486571868,29280,6662937.063544444,5403070.505069837,1503089.1458942408,12737560.34702401,730719.7574783234,0.0,1225940.36380337,14694220.468305703,0,4.1710552860749885,7974.82443518519,1206.5093253662114,334
4-3,gru_no_calendar,42,False,True,0+6+12+18,19694983.60121958,20294107.892366346,287138.4690158128,34020,6671089.212970097,5409676.741279481,1380644.394724876,12577263.92624726,810664.4185397517,0.0,1471796.5696327935,14859724.914419806,0,4.6698428387753665,7974.82443518519,1203.1813532931862,334
