date,repeat,grid_kwh,off_grid_check,risk_seconds,planning_seconds,grid_states,max_actions_per_state,objective_surrogate_yuan,terminal_value_yuan_per_soc_kwh,exact_for_discrete_surrogate_only,projected_seconds,greedy_seconds,full_day_seconds,greedy_simultaneous_slots,total_cost,planned_cost,emergency_cost,simultaneous_slots,throughput_kwh,direction_reversals,equivalent_full_cycles,initial_soc,final_soc,final_mode,max_balance_error,max_state_error
2025-09-23,1,100.0,False,0.00574924994725734,0.012290582992136478,97,16,43264.20939793945,0.39138456507350644,True,0.0003249170258641243,0.0003293330082669854,0.018364749965257943,0,42591.06334279639,41302.11901326998,1288.9443295264114,0,32478.053065778284,7,1.3607836223789251,6000.0,1710.3981292530711,-1,0.0,9.094947017729282e-13
2025-09-23,1,50.0,False,0.00574924994725734,0.035111250006593764,193,33,43055.92354737929,0.39138456507350644,True,0.0003523750929161906,0.0002910830080509186,0.041212875046767294,0,42435.85136560154,41075.756024392715,1360.095341208836,0,32953.90467866191,9,1.3806205365358655,6000.0,1693.4148235499188,-1,0.0,8.526512829121202e-13
2025-09-23,1,25.0,False,0.00574924994725734,0.12725579203106463,385,67,43005.15321941353,0.39138456507350644,True,0.0003589169355109334,0.0002941250568255782,0.1333639589138329,0,42440.113908778265,41016.628981939255,1423.4849268390187,0,33073.88494795385,9,1.385616828537776,6000.0,1691.5712221361205,-1,0.0,9.094947017729282e-13
2025-11-01,1,100.0,False,0.005905708065256476,0.012433250085450709,97,16,16220.331294796848,0.39138456507350644,True,0.0003402500879019499,0.00028312497306615114,0.018679208238609135,0,17039.418866864,15591.603235350543,1447.815631513456,0,24418.867734759115,6,1.0249823263215945,6000.0,1923.498742764094,-1,0.0,9.094947017729282e-13
2025-11-01,1,50.0,False,0.005905708065256476,0.03509691695217043,193,33,16134.169854481843,0.39138456507350644,True,0.0004662920255213976,0.0003059169976040721,0.041468917042948306,0,16883.8531233186,15514.014200065103,1369.838923253496,0,24679.813258683535,6,1.0358860138838946,6000.0,1902.5104193180155,-1,0.0,9.094947017729282e-13
2025-11-01,1,25.0,False,0.005905708065256476,0.12788299995008856,385,67,16107.958122290256,0.39138456507350644,True,0.00039475003723055124,0.0002941250568255782,0.1341834580525756,0,16804.7356130842,15412.522823350955,1392.2127897332464,0,25005.04645570538,6,1.0495702358716148,6000.0,1833.3712326414716,-1,0.0,9.094947017729282e-13
2025-12-21,1,100.0,False,0.005629290943033993,0.012671292060986161,97,16,62053.7593301134,0.39138456507350644,True,0.000345667009241879,0.000286709051579237,0.018646250013262033,0,61333.74955551422,60508.6741161955,825.0754393187187,0,39550.660747143906,9,1.655186049452135,6000.0,1656.1870033759615,-1,0.0,9.094947017729282e-13
2025-12-21,1,50.0,False,0.005629290943033993,0.03574262501206249,193,33,61742.48763101303,0.39138456507350644,True,0.00036204198841005564,0.0002858339576050639,0.04173395794350654,0,61324.97387015719,60201.76469733723,1123.2091728199698,0,40267.71777247981,9,1.6850469793985978,6000.0,1644.803421508208,-1,0.0,8.526512829121202e-13
2025-12-21,1,25.0,False,0.005629290943033993,0.1275290830526501,385,67,61603.54190186963,0.39138456507350644,True,0.0003575000446289778,0.0002924998989328742,0.13351587404031307,0,61177.94688434852,60054.73771153177,1123.2091728167502,0,40897.28526248074,9,1.711240557113894,6000.0,1645.7352385224472,-1,0.0,9.094947017729282e-13
2025-02-01,2,100.0,False,0.005871916888281703,0.01219483301974833,97,16,47955.914512426534,0.39138456507350644,True,0.00033970794174820185,0.0002897090744227171,0.018406457849778235,0,36570.95469290548,36570.95469290548,0.0,0,22920.9388442939,7,0.9555018547327169,6000.0,5185.391386258548,-1,0.0,9.094947017729282e-13
2025-02-01,2,50.0,False,0.005871916888281703,0.035528792068362236,193,33,47754.370227932064,0.39138456507350644,True,0.00035437510814517736,0.0002871250035241246,0.041755084064789116,0,36199.24008291572,36199.24008291572,0.0,0,23207.979029883223,7,0.9674446062756085,6000.0,5185.701281458156,-1,0.0,9.094947017729282e-13
2025-02-01,2,25.0,False,0.005871916888281703,0.12873741600196809,385,67,47695.32383836766,0.39138456507350644,True,0.00035391689743846655,0.0002868750598281622,0.13496324978768826,0,36217.780737580884,36217.78073758088,0.0,0,23275.387697355567,7,0.9706166074121408,6000.0,5018.258302696431,-1,0.0,9.094947017729282e-13
2025-02-15,2,100.0,False,0.0037565419916063547,0.012223541969433427,97,16,19094.79562233969,0.39138456507350644,True,0.00033650000113993883,0.0002875420032069087,0.01631658396217972,0,19768.85224715041,17974.611579363827,1794.240667786587,0,26402.038410371824,5,1.1076576275396253,6000.0,1851.5793300886091,-1,0.0,7.958078640513122e-13
2025-02-15,2,50.0,False,0.0037565419916063547,0.035758333979174495,193,33,18844.428610372972,0.39138456507350644,True,0.000436166999861598,0.00031266699079424143,0.03995104297064245,0,19441.58518387688,17710.89246678361,1730.6927170932659,0,26812.093644204127,5,1.1246802645891247,6000.0,1869.5078678149755,-1,0.0,9.094947017729282e-13
