scenario,model,target,horizon,population,granularity,group,unit,n,mae,rmse,wape_pct,bias
3,updated_issued,net_load,remaining_day,all,monthly,10,kW,11160,241.06339381905264,369.96411960156524,8.010493451129207,-2.2923842053081
3,updated_issued,load,remaining_day,all,monthly,11,kW,10800,105.20330916321707,132.09401074531937,2.4046299438363214,-3.2020875243358353
3,updated_issued,pv,remaining_day,all,monthly,11,kW,10800,110.98641765626658,225.7349264975614,6.006660310134957,2.4339985882004886
3,updated_issued,pv,remaining_day,pv_generating,monthly,11,kW,5226,221.62270818754428,322.66065127431284,5.803943099238493,-2.7106492435911567
3,updated_issued,net_load,remaining_day,all,monthly,11,kW,10800,180.60645084776306,263.0304996078576,6.044515882490981,-5.636086112536324
3,updated_issued,load,remaining_day,all,monthly,12,kW,11160,125.1969597798914,160.8441800933834,2.6808011285820603,-1.2506334867989501
3,updated_issued,pv,remaining_day,all,monthly,12,kW,11160,89.44402474676134,199.592021184197,5.947271250311556,8.540465828151063
3,updated_issued,pv,remaining_day,pv_generating,monthly,12,kW,5227,189.22090703551262,291.3170405534319,5.892829004750031,16.48631405068561
3,updated_issued,net_load,remaining_day,all,monthly,12,kW,11160,177.01126675597087,255.7129663439672,5.385337385446759,-9.791099314950012
3,updated_issued,load,remaining_day,all,issue_hour,0,kW,48096,144.7735784301409,192.85525876759698,3.135815261727131,-3.22756038304155
3,updated_issued,pv,remaining_day,all,issue_hour,0,kW,48096,198.885683959325,379.47244570886824,8.360568670205215,-8.265290878681117
3,updated_issued,pv,remaining_day,pv_generating,issue_hour,0,kW,26880,351.1164537108822,506.6912584906537,8.249047076659012,-19.535826267121635
3,updated_issued,net_load,remaining_day,all,issue_hour,0,kW,48096,288.1253873671698,428.9431962141498,9.60118147449786,5.037730495639569
3,updated_issued,load,remaining_day,all,issue_hour,6,kW,36072,143.32767099938678,190.35578666299202,2.8785283274145987,-2.418267155852654
3,updated_issued,pv,remaining_day,all,issue_hour,6,kW,36072,164.05222486204764,274.3490635796596,5.189306692261603,0.8562434519752166
3,updated_issued,pv,remaining_day,pv_generating,issue_hour,6,kW,25013,232.41950062234864,328.218049378707,5.097947263352461,-2.9303351200306116
3,updated_issued,net_load,remaining_day,all,issue_hour,6,kW,36072,244.65999619145273,334.01789579015445,8.629373339557779,-3.274510607827871
3,updated_issued,load,remaining_day,all,issue_hour,12,kW,24048,149.89788040135923,199.88265169555922,3.139424992395067,2.2939761442094087
3,updated_issued,pv,remaining_day,all,issue_hour,12,kW,24048,82.83751476447769,147.64140466837034,3.563491319152778,27.22452803268132
