scenario,issue_hour,target,n,unit,mae,rmse,bias_predicted_minus_actual,absolute_error_sum,squared_error_sum,month
4-3,0,load,4464,kW,158.88301182673814,201.58109543146728,36.44461217794188,709253.7647945591,181394363.38980383,12
4-3,0,pv,4032,kW,172.72187032254092,321.3026590453301,-39.78863477348139,696414.581140485,416245127.5971057,2
4-3,0,pv,4464,kW,202.58733995169675,386.25723928954767,-36.39534537578933,904349.8855443742,666004939.489594,3
4-3,0,pv,4320,kW,226.52492740695976,398.7694652873831,31.210669412104068,978587.6863980661,686953813.4449291,4
4-3,0,pv,4464,kW,201.21131332949875,357.42990598077614,2.7842688320911186,898207.3027028824,570303398.6455998,5
4-3,0,pv,4320,kW,205.189670105104,376.3067716899481,-7.384860700911796,886419.3748540493,611741317.3331504,6
4-3,0,pv,4464,kW,215.86473195405918,390.34913341803605,2.371575025330616,963620.1634429202,680190598.7663851,7
4-3,0,pv,4464,kW,243.84402537765638,472.15426384954816,-48.492616907490564,1088519.729285858,995157952.5615222,8
4-3,0,pv,4320,kW,210.5250473192425,403.1025181335804,25.759436710064257,909468.2044191277,701963885.3427367,9
4-3,0,pv,4464,kW,236.97241694634306,459.0623483449611,-43.11559133870164,1057844.8692484754,940735501.8779092,10
4-3,0,pv,4320,kW,145.84613940695925,282.50904028655435,15.259261775008277,630055.322238064,344785065.88448155,11
4-3,0,pv,4464,kW,123.68251264188935,264.2491704558316,6.981238935206303,552118.736433394,311710513.92256063,12
4-3,0,price,4032,yuan/kWh,0.0464106581115275,0.06339795035477248,0.004873345528333818,187.1277735056789,16.205818040238746,2
4-3,0,price,4464,yuan/kWh,0.04145477764004686,0.05413100755201645,-0.00041397170179933665,185.05412738516918,13.080260928454603,3
4-3,0,price,4320,yuan/kWh,0.04267578636241524,0.055225835423907535,-0.0005321471139821662,184.35939708563382,13.175537320520007,4
4-3,0,price,4464,yuan/kWh,0.04471352993511646,0.057846710063054564,-0.0009096215659329781,199.60119763035988,14.937623685891653,5
4-3,0,price,4320,yuan/kWh,0.05041402777312753,0.06742664304339246,-0.003596526066396091,217.7885999799109,19.640241469876607,6
4-3,0,price,4464,yuan/kWh,0.0535657860695534,0.07206858942716747,-0.002380547048667624,239.11766901448638,23.18548738214458,7
4-3,0,price,4464,yuan/kWh,0.04714063708459068,0.06046679849274909,0.001286567180612155,210.4358039456128,16.321427325913596,8
4-3,0,price,4320,yuan/kWh,0.056312071420011545,0.07707147119231286,0.0016472779554903758,243.26814853444986,25.66085042194925,9
4-3,0,price,4464,yuan/kWh,0.04080549216441237,0.05317279875823065,0.0003175995627478829,182.15571702193682,12.62127490002463,10
4-3,0,price,4320,yuan/kWh,0.0388209218369106,0.04984024859607941,-0.0006512630484953785,167.70638233545378,10.73109764211406,11
4-3,0,price,4464,yuan/kWh,0.04728854100774295,0.06525754678415746,0.0009574216369546548,211.09604705856452,19.010155648446933,12
4-3,0,net_load,4032,kW,306.58716623641163,424.14284322220414,204.3039681191755,1236159.4542652117,725345314.6730726,2
4-3,0,net_load,4464,kW,304.3741608815021,445.6396822411607,151.1743768825656,1358726.2541750255,886526858.5960438,3
4-3,0,net_load,4320,kW,295.92143945171455,429.43791370181674,55.4616286739985,1278380.6184314068,796681101.8501381,4
4-3,0,net_load,4464,kW,295.8203540444698,408.2376310385545,52.52383702202065,1320542.0604545132,743961148.5996145,5
4-3,0,net_load,4320,kW,334.24071571937617,451.5347508764186,42.25537307327283,1443919.891907705,880777286.995807,6
4-3,0,net_load,4464,kW,414.60331511211405,550.7464335795114,21.965089814002255,1850789.198660477,1354027774.6248603,7
4-3,0,net_load,4464,kW,366.48107604723043,554.0244123953989,161.85169360777388,1635971.5234748367,1370193773.1022196,8
4-3,0,net_load,4320,kW,401.8285948422131,550.7366226980811,218.05982966246432,1735899.5297183604,1310302775.1494384,9
4-3,0,net_load,4464,kW,359.25500596347285,530.6044512465818,216.67173860979847,1603714.346620943,1256799397.5595112,10
4-3,0,net_load,4320,kW,228.13205733561335,325.14778333152486,57.067870183951044,985530.4876898497,456715069.9433464,11
4-3,0,net_load,4464,kW,224.62398450029158,317.4019985643138,29.463373242735575,1002721.4668093016,449721344.0838586,12
4-3,6,load,3024,kW,165.7371879317029,206.05505151964968,117.36502818250392,501189.25630546955,128395061.19245881,2
4-3,6,load,3348,kW,144.72984230781924,183.08827265204425,77.56570498200036,484555.5120465788,112229364.5709107,3
4-3,6,load,3240,kW,136.84160243313926,171.3189122614983,67.19033473623702,443366.7918833712,95094549.82301995,4
4-3,6,load,3348,kW,167.25528431196727,214.3951921714891,28.197345784377944,559970.6918764664,153891819.13108414,5
4-3,6,load,3240,kW,208.6035341622104,272.7016514181199,12.84666551176843,675875.4506855616,240946457.82319015,6
4-3,6,load,3348,kW,267.2251587756618,332.9002301710761,29.565129396215276,894669.8315809157,371033941.75415486,7
4-3,6,load,3348,kW,198.28110012798214,248.14324213583924,90.75729225887939,663845.1232284842,206153329.73201185,8
4-3,6,load,3240,kW,271.1913452960959,383.0448901707265,209.07214723493428,878659.9587593507,475383776.75032866,9
4-3,6,load,3348,kW,183.4730641290425,241.39547153956076,148.0403469278194,614267.8187040343,195093898.27999347,10
4-3,6,load,3240,kW,133.55828289110016,166.10886532579931,59.54601816459524,432728.8365671645,89398582.65303148,11
4-3,6,load,3348,kW,151.58579573186125,189.94114513486073,51.27076778073672,507509.24411027145,120787934.08349618,12
4-3,6,pv,3024,kW,145.04271483878455,234.40379288284598,8.865027008883851,438609.1696724845,166154097.6684212,2
4-3,6,pv,3348,kW,167.3837568040993,281.9429364943888,25.667396116459027,560400.8177801245,266138611.4820363,3
4-3,6,pv,3240,kW,173.187742213479,271.2932684651121,1.3463106722570433,561128.284771672,238464121.54692614,4
4-3,6,pv,3348,kW,177.22585796436516,284.1801222899844,-47.878737360368255,593352.1724646946,270378928.6971047,5
4-3,6,pv,3240,kW,172.2248069108553,282.7364550728833,16.682173411665673,558008.3743911711,259005285.808065,6
4-3,6,pv,3348,kW,180.83562097251902,304.18705640872196,-0.810070058420312,605437.6590159937,309789654.17954683,7
4-3,6,pv,3348,kW,185.87702455530754,300.2787042302323,-4.069646400658209,622316.2782111696,301880121.11709917,8
4-3,6,pv,3240,kW,182.3329466672667,306.0281620152413,-10.145193564707998,590758.7472019441,303436484.46642286,9
4-3,6,pv,3348,kW,179.73544638262754,300.5575045624095,37.67050097723273,601754.274489037,302440955.7613249,10
4-3,6,pv,3240,kW,138.94440228944015,238.44681545780708,-25.770549729537045,450179.8634177861,184216303.5183812,11
4-3,6,pv,3348,kW,100.28262061162027,183.83070518845133,7.949019081259669,335746.2138077047,113141401.91343892,12
4-3,6,price,3024,yuan/kWh,0.05046191528423553,0.06879431101477027,0.005378706431594252,152.59683181952823,14.311555457462749,2
4-3,6,price,3348,yuan/kWh,0.04437892947355213,0.05768623995917581,-0.00019763979619958803,148.58065587745253,11.141147235541245,3
4-3,6,price,3240,yuan/kWh,0.04604629087735238,0.05925138947913551,-0.0004929671859680559,149.18998244262173,11.3747559828746,4
4-3,6,price,3348,yuan/kWh,0.04848225684426187,0.062274153775953724,-0.0009453914208605223,162.31859591458874,12.983779125055268,5
4-3,6,price,3240,yuan/kWh,0.05559248490157862,0.07345119548696617,-0.0043124464087361085,180.11965108111474,17.480053103825043,6
4-3,6,price,3348,yuan/kWh,0.05774114067524077,0.07765205407177807,-0.0018881263082904732,193.3173389807061,20.187909347244123,7
4-3,6,price,3348,yuan/kWh,0.050445208620320627,0.06453117168685299,0.0012823742429776892,168.89055846083346,13.94198305534307,8
4-3,6,price,3240,yuan/kWh,0.062283486138000894,0.08452685111749349,0.001094402562325542,201.7984950871229,23.149114933878067,9
4-3,6,price,3348,yuan/kWh,0.04393165930410786,0.056973164100003304,-0.00012688896939751324,147.08319535015312,10.867411899490651,10
4-3,6,price,3240,yuan/kWh,0.041011062107210484,0.05266515212131874,-0.00143282278618159,132.87584122736197,8.986523123395726,11
4-3,6,price,3348,yuan/kWh,0.051309774924662224,0.07081094633114306,0.0020537435598681837,171.78512644776913,16.787508522804654,12
4-3,6,net_load,3024,kW,232.18941914609573,309.80969287397005,108.50000117362009,702140.8034977935,290249706.4951589,2
4-3,6,net_load,3348,kW,241.82721013092652,327.9663446341084,51.89830886554134,809637.499518342,360117318.91598153,3
4-3,6,net_load,3240,kW,235.17477092545207,317.1024454373267,65.84402406397997,761966.2577984647,325794833.32355815,4
