name,seed,case_id,exploratory,target,lead_start_hour,lead_end_hour,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias
causal_season,2026,causal_season_seed_2026,False,load,8.0,12.0,8016,1480355.392202802,440077600.4892047,840290.3951235646,46507328.0133,184.67507387759505,234.3072774384725,3.1830583597050666,104.82664609824909
causal_season,2026,causal_season_seed_2026,False,pv,8.0,12.0,8016,4302538.277524788,3982277265.3640003,-2661622.3002720615,50642302.90439999,536.7437970964057,704.8340769418453,8.495937251603475,-332.0387101137801
causal_season,2026,causal_season_seed_2026,False,load,12.0,16.0,8016,1604809.904322117,550983087.2887788,911951.0388821939,45186244.1546,200.20083636752958,262.17439821793334,3.551545242024161,113.76634716594235
causal_season,2026,causal_season_seed_2026,False,pv,12.0,16.0,8016,4095222.5777673726,3569934759.2449007,-2563448.9827300124,49192026.388000004,510.88106010072016,667.3463438278296,8.324972314550491,-319.7915397617281
causal_season,2026,causal_season_seed_2026,False,load,16.0,20.0,8016,1745848.6248331298,657295715.8541155,983991.8087603152,38937812.863000005,217.79548712988145,286.35287416869954,4.483684358378775,122.75346915672594
causal_season,2026,causal_season_seed_2026,False,pv,16.0,20.0,8016,608122.6684540394,197813740.07067835,-301513.18716615194,6710354.7006,75.8636063440668,157.09030136602405,9.062451920755615,-37.61392055465967
causal_season,2026,causal_season_seed_2026,False,load,20.0,24.0,8016,1778377.3224718203,670664900.3982047,1027472.9436847977,30697741.134099998,221.85345839219315,289.2503776796151,5.793186263129778,128.17776243572825
causal_season,2026,causal_season_seed_2026,False,pv,20.0,24.0,8016,1950.5533970866545,21381.845089619826,1948.1813970866544,1.621,0.2433325096165986,1.6332164108021483,120330.25275056474,0.24303660143296588
causal_season,3407,causal_season_seed_3407,False,load,0.0,4.0,8016,1596835.4045729612,536869576.10262233,900461.9516193672,27935677.339499995,199.2060135445311,258.79479808874095,5.716114863322451,112.33307779682725
causal_season,3407,causal_season_seed_3407,False,pv,0.0,4.0,8016,2108.6658547583697,38657.69868602381,2105.7292547583697,1.6239000000000001,0.26305711760957706,2.1960344262671008,129851.95238366707,0.2626907752942078
causal_season,3407,causal_season_seed_3407,False,load,4.0,8.0,8016,1512203.1061811051,450936764.3118042,863355.5087697718,32783673.431,188.64809208846123,237.18049322455468,4.6126713327713205,107.70403053515118
causal_season,3407,causal_season_seed_3407,False,pv,4.0,8.0,8016,711301.0840253514,244174363.96480966,-275090.2514786293,7868652.727799999,88.73516517282329,174.53043788435585,9.039680725930632,-34.31764614254357
causal_season,3407,causal_season_seed_3407,False,load,8.0,12.0,8016,1469743.3921280822,435824351.537454,792906.5022778691,46507328.0133,183.35122157286455,233.1722653565786,3.1602404500808348,98.91548182109146
causal_season,3407,causal_season_seed_3407,False,pv,8.0,12.0,8016,4203794.221946944,3801862231.4812274,-2538664.659578751,50642302.90439999,524.4254268895887,688.6829535527398,8.30095390780837,-316.6996830811815
